ContractName,ProjectNVersion,IsFacadeOnProjectN,WindowsStoreVersion,IsFacadeOnWindowsStore,DesktopVersion,IsFacadeOnDesktop,ProjectKVersion,IsFacadeOnProjectK,TestNetVersion,IsFacadeOnTestNet,PhoneVersion,IsFacadeOnPhone
System.Net.Utilities,-,-,-,-,4.0.0.0,Y,4.0.0.0,Y,4.0.0.0,Y,-,-
System.Reflection.Emit,-,-,-,-,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.0.0,Y
System.Reflection.Emit.ILGeneration,-,-,-,-,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.0.0,Y
System.Reflection.Emit.Lightweight,-,-,-,-,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.0.0,Y
System.Resources.ReaderWriter,-,-,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.Runtime.CompilerServices.VisualC,-,-,-,-,4.0.0.0,Y,4.0.0.0,Y,4.0.0.0,Y,-,-
System.Security.AccessControl,-,-,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.Security.Cryptography.Csp,-,-,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.Security.Principal.Windows,-,-,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.Security.SecureString,-,-,-,-,4.0.0.0,N,4.0.0.0,N,4.0.0.0,N,-,-
System.ServiceProcess.ServiceController,-,-,-,-,4.1.0.0,Y,4.1.0.0,N,4.1.0.0,N,-,-
System.Threading.AccessControl,-,-,-,-,4.0.0.0,N,4.0.0.0,N,4.0.0.0,N,-,-
System.Threading.ThreadPool,-,-,-,-,4.0.10.0,Y,4.0.10.0,Y,4.0.10.0,Y,-,-
System.Threading.Thread,-,-,-,-,4.0.0.0,Y,4.0.0.0,Y,4.0.0.0,Y,-,-
Internal.Threading.Overlapped,-,-,-,-,-,-,-,-,4.0.0.0,Y,-,-
Internal.Threading.ThreadPool,-,-,-,-,-,-,-,-,4.0.0.0,Y,-,-
